,Fiyat,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Durumu,Tapu Durumu,Eşya Durumu,Site İçerisinde,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yatırıma Uygunluk,Banyo Sayısı,Balkon Sayısı,WC Sayısı,Sehir,Ilce,Mahalle
10418,6500000,5,4,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,,Hayır,198,21 Ve Üzeri,4,Boş,Yatırıma Uygun,1,2.0,1.0,İstanbul,Adalar,Heybeliada Mahallesi
10419,4500000,4,2,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,,Hayır,120,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,,,İstanbul,Adalar,Heybeliada Mahallesi
10420,10000000,9,1,Sobalı,Krediye Uygun,,,,Hayır,400,21 Ve Üzeri,3,Kiracı Oturuyor,,5,,,İstanbul,Adalar,Heybeliada Mahallesi
10421,10000000,4,2,Kombi Doğalgaz,Krediye Uygun,İkinci El,,,Hayır,180,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,,1,,,İstanbul,Adalar,Maden Mahallesi
10422,2200000,3,4,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,110,0 (Yeni),5,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Arnavutköy,Hadımköy Mahallesi
10423,2400000,3,-2,Kombi Doğalgaz,,İkinci El,Kat Mülkiyeti,,Hayır,95,4,6,Kiracı Oturuyor,Yatırıma Uygun,1,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10424,2550000,3,5,Doğalgaz Sobalı,,,,,Hayır,130,11-15,6,Mülk Sahibi Oturuyor,,1,2.0,1.0,İstanbul,Arnavutköy,Hastane Mahallesi
10425,2400000,3,-3,Doğalgaz Sobalı,,İkinci El,,,Hayır,130,11-15,5,Boş,,1,2.0,1.0,İstanbul,Arnavutköy,Hastane Mahallesi
10426,2300000,3,2,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,130,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,2.0,2.0,İstanbul,Arnavutköy,Hastane Mahallesi
10427,2350000,3,3,Kombi Doğalgaz,Krediye Uygun,,Arsa Tapulu,,Hayır,90,0 (Yeni),6,Boş,,2,1.0,,İstanbul,Arnavutköy,Hastane Mahallesi
10428,2685000,3,6,Merkezi Doğalgaz,Krediye Uygun,,,,Evet,115,5-10,14,Boş,,2,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10429,1840000,3,8,Kombi Doğalgaz,Krediye Uygun,,Kat Mülkiyeti,,Evet,105,11-15,10,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,1.0,2.0,İstanbul,Arnavutköy,Hadımköy Mahallesi
10430,2450000,3,2,Kombi Doğalgaz,Krediye Uygun,,Kat Mülkiyeti,,Hayır,100,1,6,Kiracı Oturuyor,,1,1.0,,İstanbul,Arnavutköy,Hastane Mahallesi
10431,3100000,3,2,Merkezi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,110,0 (Yeni),5,Boş,,1,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10432,2500000,3,2,Merkezi Doğalgaz,Krediye Uygun,,Kat Mülkiyeti,,Hayır,95,0 (Yeni),5,Boş,,1,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10433,1600000,3,1,Kombi Doğalgaz,,,,Boş,Hayır,85,5-10,6,Boş,,2,,,İstanbul,Arnavutköy,Hastane Mahallesi
10434,4250000,4,2,Merkezi (Pay Ölçer),Krediye Uygun,,Kat Mülkiyeti,Boş,Evet,150,5-10,14,Kiracı Oturuyor,Yatırıma Uygun,2,,2.0,İstanbul,Arnavutköy,Hadımköy Mahallesi
10435,2450000,3,3,Kombi Doğalgaz,Krediye Uygun,,,,Evet,105,11-15,6,Mülk Sahibi Oturuyor,,1,1.0,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10436,3195000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,105,0 (Yeni),4,Boş,,2,,,İstanbul,Arnavutköy,Karlıbayır Mahallesi
10437,4350000,7,3,Kat Kaloriferi,Krediye Uygun Değil,,,Boş,Hayır,215,0 (Yeni),3,Boş,,2,,,İstanbul,Arnavutköy,Mustafa Kemal Paşa Mahallesi
10438,3400000,4,1,Kat Kaloriferi,Krediye Uygun Değil,,,Boş,Hayır,120,0 (Yeni),4,Kiracı Oturuyor,,1,,,İstanbul,Arnavutköy,Mustafa Kemal Paşa Mahallesi
10439,1700000,2,-1,Kat Kaloriferi,Krediye Uygun Değil,,,Boş,Hayır,80,0 (Yeni),4,Boş,,1,,,İstanbul,Arnavutköy,Mustafa Kemal Paşa Mahallesi
10440,2950000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,,Evet,95,5-10,11,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Arnavutköy,Ömerli Mahallesi
10441,2250000,3,-3,Kombi Doğalgaz,Krediye Uygun,İkinci El,,Boş,Evet,80,5-10,10,Kiracı Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Arnavutköy,Hadımköy Mahallesi
10442,3650000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,100,3,3,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,1.0,1.0,İstanbul,Arnavutköy,Haraççı Mahallesi
10443,3130000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,115,1,3,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10444,2550000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,91,0 (Yeni),4,Kiracı Oturuyor,,2,,,İstanbul,Arnavutköy,Taşoluk Mahallesi
10445,3300000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Evet,95,11-15,3,Boş,,2,,,İstanbul,Arnavutköy,Taşoluk Mahallesi
10446,3860000,6,6,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat İrtifakı,Boş,Hayır,190,0 (Yeni),6,Boş,Yatırıma Uygun,2,3.0,2.0,İstanbul,Arnavutköy,Anadolu Mahallesi
10447,4700000,7,3,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,170,11-15,3,Mülk Sahibi Oturuyor,Yatırıma Uygun,2,2.0,2.0,İstanbul,Arnavutköy,İslambey Mahallesi
10448,2250000,3,4,Kombi Doğalgaz,Krediye Uygun Değil,,,,Evet,84,11-15,11,Kiracı Oturuyor,,1,,,İstanbul,Arnavutköy,Deliklikaya Mahallesi
10449,2100000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,110,0 (Yeni),3,Boş,,1,,,İstanbul,Arnavutköy,Nenehatun Mahallesi
10450,3450000,5,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,160,0 (Yeni),4,Boş,,2,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10451,3300030,4,3,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,189,5-10,5,Boş,Yatırıma Uygun,2,2.0,2.0,İstanbul,Arnavutköy,Mustafa Kemal Paşa Mahallesi
10452,2500000,3,1,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,108,0 (Yeni),4,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Arnavutköy,Anadolu Mahallesi
10453,1600000,3,1,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,95,5-10,3,Kiracı Oturuyor,,1,,,İstanbul,Arnavutköy,Karlıbayır Mahallesi
10454,2900000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,110,0 (Yeni),3,Boş,,1,,,İstanbul,Arnavutköy,Mustafa Kemal Paşa Mahallesi
10455,1600000,3,2,Kombi Doğalgaz,Krediye Uygun Değil,İkinci El,,,Hayır,125,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,2,1.0,,İstanbul,Arnavutköy,Yavuz Selim Mahallesi
10456,2000000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,95,0 (Yeni),3,Boş,,2,,,İstanbul,Arnavutköy,Karlıbayır Mahallesi
10458,2500000,3,1,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Evet,90,11-15,3,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10459,3750000,4,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,135,1,4,Mülk Sahibi Oturuyor,,2,,,İstanbul,Arnavutköy,İslambey Mahallesi
10460,4250000,3,2,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Hayır,90,11-15,3,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10461,2550000,7,4,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,180,5-10,5,Kiracı Oturuyor,,2,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10462,3530000,3,0,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Evet,94,11-15,3,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10463,3750000,3,1,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Evet,90,11-15,3,Boş,,1,,,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10464,4000000,3,2,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Evet,90,11-15,3,Kiracı Oturuyor,,1,,,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10465,3450000,5,5,Kombi Doğalgaz,Krediye Uygun Değil,,,Boş,Evet,170,11-15,5,Mülk Sahibi Oturuyor,,2,,,İstanbul,Arnavutköy,Adnan Menderes Mahallesi
10466,3500000,3,2,Merkezi (Pay Ölçer),Krediye Uygun,,,Boş,Hayır,92,11-15,3,Kiracı Oturuyor,,1,,,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10467,2580000,5,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,145,4,5,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10468,3290000,3,3,Merkezi (Pay Ölçer),Krediye Uygun Değil,,,Boş,Evet,94,11-15,3,Boş,,1,,,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10469,2850000,3,3,Merkezi (Pay Ölçer),Krediye Uygun,,Müstakil Tapulu,Boş,Evet,95,11-15,3,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10470,4000000,5,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,190,0 (Yeni),3,Boş,,2,,,İstanbul,Arnavutköy,Nenehatun Mahallesi
10471,2000000,3,0,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,75,0 (Yeni),3,Boş,,1,,,İstanbul,Arnavutköy,Nenehatun Mahallesi
10472,1850000,3,5,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,110,11-15,7,Boş,,1,,,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi
10473,3500000,6,10,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,200,0 (Yeni),11,Boş,,2,,,İstanbul,Arnavutköy,Yunus Emre Mahallesi
10474,2500000,3,6,Kombi Doğalgaz,Krediye Uygun,İkinci El,,,Hayır,100,11-15,6,Mülk Sahibi Oturuyor,,2,,,İstanbul,Arnavutköy,Hastane Mahallesi
10475,2650000,3,4,Kombi Doğalgaz,Krediye Uygun,İkinci El,,,Hayır,95,11-15,5,Mülk Sahibi Oturuyor,,2,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10476,3500000,3,2,Merkezi Doğalgaz,Krediye Uygun,İkinci El,,,Hayır,120,11-15,16,Mülk Sahibi Oturuyor,,2,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10477,3000000,3,14,Merkezi Doğalgaz,Krediye Uygun,İkinci El,,,Hayır,120,11-15,16,Kiracı Oturuyor,,2,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10478,2050000,4,0,Kombi Doğalgaz,Krediye Uygun Değil,,,Boş,Hayır,180,5-10,3,Boş,,2,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10479,4480000,6,4,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,200,0 (Yeni),4,Boş,,2,,,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi
10480,2500000,3,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,95,2,4,Boş,,1,,,İstanbul,Arnavutköy,İslambey Mahallesi
10481,4100000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,130,0 (Yeni),3,Boş,,2,,,İstanbul,Arnavutköy,Mustafa Kemal Paşa Mahallesi
10482,2200000,3,1,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat İrtifakı,,Hayır,97,0 (Yeni),5,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Arnavutköy,Anadolu Mahallesi
10483,2600000,3,1,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,95,3,4,Boş,,1,,,İstanbul,Arnavutköy,Karlıbayır Mahallesi
10484,2550000,4,4,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,,Hayır,140,11-15,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,2.0,1.0,İstanbul,Arnavutköy,Hastane Mahallesi
10485,3800000,5,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,170,0 (Yeni),4,Boş,,2,,,İstanbul,Arnavutköy,Nenehatun Mahallesi
10486,3500000,5,3,Kombi Doğalgaz,Krediye Uygun Değil,,,Boş,Hayır,180,5-10,4,Boş,,2,,,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi
10487,1800000,2,1,Doğalgaz Sobalı,Krediye Uygun Değil,,,,Hayır,85,11-15,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10488,2200000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,114,5-10,4,Boş,Yatırıma Uygun,1,1.0,1.0,İstanbul,Arnavutköy,Anadolu Mahallesi
10489,3100000,3,1,Kombi Doğalgaz,,,,,Hayır,110,0 (Yeni),5,Boş,,1,,,İstanbul,Arnavutköy,Karlıbayır Mahallesi
10490,3100000,4,2,Merkezi Doğalgaz,Krediye Uygun,,Müstakil Tapulu,Boş,Evet,120,11-15,6,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10491,3000000,3,2,Merkezi Doğalgaz,Krediye Uygun,,,,Hayır,100,5-10,3,Boş,,1,1.0,,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi
10492,3350000,6,5,Merkezi Doğalgaz,Krediye Uygun,,,,Hayır,190,0 (Yeni),5,Boş,,2,2.0,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10493,2750000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,95,5-10,4,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,İslambey Mahallesi
10494,3220000,6,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,160,3,3,Boş,,2,,,İstanbul,Arnavutköy,Mustafa Kemal Paşa Mahallesi
10495,2500000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,110,0 (Yeni),4,Boş,,2,,,İstanbul,Arnavutköy,Boğazköy İstiklal Mahallesi
10496,2850000,4,1,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat İrtifakı,Boş,Hayır,130,0 (Yeni),4,Boş,Yatırıma Uygun,2,1.0,2.0,İstanbul,Arnavutköy,Atatürk Mahallesi
10497,3600000,7,0,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,200,0 (Yeni),4,Boş,,2,,,İstanbul,Arnavutköy,Taşoluk Mahallesi
10498,2500000,3,4,Kombi Doğalgaz,Krediye Uygun Değil,,Müstakil Tapulu,Boş,Hayır,95,5-10,5,Boş,,1,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10499,2200000,3,1,Kombi Doğalgaz,Krediye Uygun,,,,Evet,95,0 (Yeni),5,Boş,,2,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10500,3150000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,98,0 (Yeni),3,Boş,,1,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10501,2600000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,,Evet,95,11-15,5,Kiracı Oturuyor,Yatırıma Uygun,1,1.0,2.0,İstanbul,Arnavutköy,Hadımköy Mahallesi
10502,1500000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,4,4,Kiracı Oturuyor,,1,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10503,2390000,3,1,Kombi Doğalgaz,Krediye Uygun Değil,,,,Hayır,89,0 (Yeni),5,Boş,,1,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10504,2400000,3,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,105,11-15,4,Kiracı Oturuyor,,1,,,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi
10505,3650000,6,4,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,185,0 (Yeni),4,Boş,,2,,,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi
10506,2650000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,95,0 (Yeni),4,Boş,,1,,,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi
10507,2400000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,85,2,3,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,Nenehatun Mahallesi
10508,1730000,2,0,Sobalı,Krediye Uygun Değil,,,Boş,Hayır,196,5-10,1,Boş,,1,,,İstanbul,Arnavutköy,İmrahor Mahallesi
10509,2850000,3,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,95,0 (Yeni),3,Boş,,1,,,İstanbul,Arnavutköy,Mustafa Kemal Paşa Mahallesi
10510,3750000,6,4,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,200,0 (Yeni),4,Boş,,2,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10511,3000000,5,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,200,0 (Yeni),5,Boş,,2,,,İstanbul,Arnavutköy,Boğazköy İstiklal Mahallesi
10512,2350000,3,2,Kombi Doğalgaz,Krediye Uygun Değil,,Müstakil Tapulu,,Hayır,95,0 (Yeni),6,Boş,Yatırıma Uygun,1,1.0,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10513,3500000,4,1,Kombi Doğalgaz,,,,Boş,Hayır,110,0 (Yeni),6,Boş,,1,1.0,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10514,2750000,4,3,Kombi Doğalgaz,,,Müstakil Tapulu,,Hayır,160,11-15,5,Kiracı Oturuyor,,1,,,İstanbul,Arnavutköy,Hastane Mahallesi
10515,4000000,5,6,Kombi Doğalgaz,Krediye Uygun,Sıfır,Müstakil Tapulu,,Hayır,160,1,6,Boş,Yatırıma Uygun,1,2.0,1.0,İstanbul,Arnavutköy,Hadımköy Mahallesi
10516,2450000,3,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,0 (Yeni),4,Boş,,1,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10517,1650000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,100,0 (Yeni),5,Boş,,1,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10518,2600000,3,0,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,97,0 (Yeni),5,Boş,,1,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10519,2350000,3,4,Merkezi Doğalgaz,Krediye Uygun,İkinci El,Müstakil Tapulu,Boş,Evet,105,11-15,5,Boş,Yatırıma Uygun,1,1.0,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10520,4200000,3,1,Sobalı,Krediye Uygun Değil,,,,Hayır,551,1,1,Boş,,1,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10521,2650000,3,2,Kombi Doğalgaz,Krediye Uygun Değil,,Müstakil Tapulu,Boş,Hayır,108,4,4,Kiracı Oturuyor,,2,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10522,1880000,3,1,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,105,5-10,5,Kiracı Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Arnavutköy,Hastane Mahallesi
10523,1800000,3,-1,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat İrtifakı,,Hayır,105,4,4,Mülk Sahibi Oturuyor,Yatırıma Uygun,1,,1.0,İstanbul,Arnavutköy,Taşoluk Mahallesi
10524,2850000,3,2,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,100,0 (Yeni),5,Boş,,1,,,İstanbul,Arnavutköy,İslambey Mahallesi
10525,3900000,4,2,Merkezi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,Boş,Hayır,150,0 (Yeni),5,Boş,Yatırıma Uygun,2,1.0,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10526,3600000,5,0,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,160,0 (Yeni),3,Boş,,3,,,İstanbul,Arnavutköy,Haraççı Mahallesi
10527,4000000,6,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,200,0 (Yeni),3,Boş,,3,,,İstanbul,Arnavutköy,Haraççı Mahallesi
10528,3700000,4,2,Kombi Doğalgaz,Krediye Uygun,,,,Hayır,145,0 (Yeni),5,Boş,,1,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10529,3250000,3,1,Merkezi (Pay Ölçer),Krediye Uygun,Sıfır,Kat İrtifakı,Boş,Hayır,116,3,4,Boş,Yatırıma Uygun,1,,2.0,İstanbul,Arnavutköy,Mareşal Fevzi Çakmak Mahallesi
10531,2700000,3,2,Kombi Doğalgaz,Krediye Uygun,Sıfır,Kat Mülkiyeti,,Hayır,114,0 (Yeni),4,Boş,Yatırıma Uygun,1,1.0,,İstanbul,Arnavutköy,Taşoluk Mahallesi
10533,1625000,3,5,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Hayır,115,5-10,5,Kiracı Oturuyor,Yatırıma Uygun,1,1.0,2.0,İstanbul,Arnavutköy,Arnavutköy Merkez Mahallesi
10534,4270000,6,5,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,,Hayır,185,4,5,Mülk Sahibi Oturuyor,Yatırıma Uygun,2,2.0,2.0,İstanbul,Arnavutköy,Anadolu Mahallesi
10535,2500000,3,4,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat Mülkiyeti,Boş,Evet,94,5-10,11,Boş,Yatırıma Uygun,1,,1.0,İstanbul,Arnavutköy,Deliklikaya Mahallesi
10536,2075000,3,3,Kombi Doğalgaz,Krediye Uygun Değil,,Müstakil Tapulu,Boş,Evet,85,11-15,10,Kiracı Oturuyor,,1,,,İstanbul,Arnavutköy,Hadımköy Mahallesi
10537,2980000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Evet,95,11-15,3,Boş,,2,,,İstanbul,Arnavutköy,Mehmet Akif Ersoy Mahallesi
10538,2500000,3,3,Kombi Doğalgaz,Krediye Uygun,İkinci El,Kat İrtifakı,Boş,Hayır,110,5-10,5,Boş,Yatırıma Uygun,1,2.0,1.0,İstanbul,Arnavutköy,Karlıbayır Mahallesi
10539,2585000,4,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,120,4,4,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,İslambey Mahallesi
10540,4500000,7,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,230,0 (Yeni),4,Boş,,3,,,İstanbul,Arnavutköy,Anadolu Mahallesi
10541,1585000,2,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,65,0 (Yeni),5,Boş,,1,,,İstanbul,Arnavutköy,Taşoluk Mahallesi
10542,1375000,3,1,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,80,2,4,Mülk Sahibi Oturuyor,,1,,,İstanbul,Arnavutköy,İslambey Mahallesi
10543,2750000,3,2,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,125,0 (Yeni),4,Boş,,1,,,İstanbul,Arnavutköy,Taşoluk Mahallesi
10544,3600000,5,3,Kombi Doğalgaz,Krediye Uygun,,,Boş,Hayır,210,5-10,4,Mülk Sahibi Oturuyor,,2,,,İstanbul,Arnavutköy,Anadolu Mahallesi
